cod;razdel;groups
01;"Живі тварини; продукти тваринного походження";Живі тварини
2;"Живі тварини; продукти тваринного походження";М’ясо та їстівні субпродукти
3;"Живі тварини; продукти тваринного походження";Риба і ракоподібні, молюски та інші водяні безхребетні
4;"Живі тварини; продукти тваринного походження";"Молоко та молочні продукти; яйця птиці; натуральний мед; їстівні продукти тваринного походження, в іншому місці не зазначені"
5;"Живі тварини; продукти тваринного походження";Інші продукти тваринного походження, в іншому місці не зазначені
6;Продукти рослинного походження;"Живі дерева та інші рослини; цибулини, коріння та інші аналогічні частини рослин; зрізані квіти і декоративна зелень"
7;Продукти рослинного походження;Овочі та деякі їстівні коренеплоди і бульби
8;Продукти рослинного походження;"Їстівні плоди та горіхи; шкірки цитрусових або динь"
9;Продукти рослинного походження;Кава, чай, мате або парагвайський чай, прянощі
10;Продукти рослинного походження;Зернові культури
11;Продукти рослинного походження;"Продукція борошномельно-круп’яної промисловості; солод; крохмалі; інулін; пшенична клейковина"
12;Продукти рослинного походження;"Насіння і плоди олійних рослин; інше насіння, плоди та зерна; технічні або лікарські рослини; солома і фураж"
13;Продукти рослинного походження;"Шелак природний неочищений; камеді, смоли та інші рослинні соки і екстракти"
14;Продукти рослинного походження;"Рослинні матеріали для виготовлення плетених виробів; інші продукти рослинного походження, в іншому місці не зазначені"
15;"Жири та олії тваринного або рослинного походження; продукти їх розщеплення; готові харчові жири; воски тваринного або рослинного походження";"Жири та олії тваринного або рослинного походження; продукти їх розщеплення; готові харчові жири; воски тваринного або рослинного походження"
16;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Готові харчові продукти з м’яса, риби або ракоподібних, молюсків або інших водяних безхребетних
17;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Цукор і кондитерські вироби з цукру
18;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Какао та продукти з нього
19;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";"Готові продукти із зерна зернових культур, борошна, крохмалю або молока; борошняні кондитерські вироби"
20;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Продукти переробки овочів, плодів, горіхів або інших частин рослин
21;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Різні харчові продукти
22;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Алкогольні та безалкогольні напої і оцет
23;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";"Залишки і відходи харчової промисловості; готові корми для тварин"
24;"Готові харчові продукти; алкогольні та безалкогольні напої і оцет; тютюн та його замінники";Тютюн і промислові замінники тютюну
25;Мінеральні продукти;"Сіль; сірка; землі та каміння; штукатурні матеріали, вапно та цемент"
26;Мінеральні продукти;Руди, шлак і зола
27;Мінеральні продукти;"Палива мінеральні; нафта і продукти її перегонки; бітумінозні речовини; воски мінеральні"
28;Продукція хімічної та пов'язаних з нею галузей промисловості;Продукти неорганічної хімії: неорганічні або органічні сполуки дорогоцінних металів, рідкісноземельних металів, радіоактивних елементів або ізотопів
29;Продукція хімічної та пов'язаних з нею галузей промисловості;Органічні хімічні сполуки
30;Продукція хімічної та пов'язаних з нею галузей промисловості;Фармацевтична продукція
31;Продукція хімічної та пов'язаних з нею галузей промисловості;Добрива
32;Продукція хімічної та пов'язаних з нею галузей промисловості;"Екстракти дубильні або барвні; таніни та їх похідні, барвники, пігменти та інші фарбувальні матеріали, фарби і лаки; замазки та інші мастики; чорнило, туш"
33;Продукція хімічної та пов'язаних з нею галузей промисловості;"Ефірні олії та резиноїди; парфумерні, косметичні та туалетні препарати"
34;Продукція хімічної та пов'язаних з нею галузей промисловості;"Мило, поверхнево-активні органічні речовини, мийні засоби, мастильні матеріали, воски штучні та готові, суміші для чищення або полірування, свічки та аналогічні вироби, пасти для ліплення, пластилін, ""стоматологічний віск"" і суміші на основі гіпсу для стоматології"
35;Продукція хімічної та пов'язаних з нею галузей промисловості;"Білкові речовини; модифіковані крохмалі; клеї; ферменти"
36;Продукція хімічної та пов'язаних з нею галузей промисловості;"Порох і вибухові речовини; піротехнічні вироби; сірники; пірофорні сплави; деякі горючі матеріали"
37;Продукція хімічної та пов'язаних з нею галузей промисловості;Фотографічні або кінематографічні товари
38;Продукція хімічної та пов'язаних з нею галузей промисловості;Різноманітна хімічна продукція
39;"Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них";Пластмаси, полімерні матеріали та вироби з них
40;"Полімерні матеріали, пластмаси та вироби з них; каучук, гума та вироби з них";Каучук, гума та вироби з них
41;"Шкура та шкіра необроблені, шкіра, натуральне хутро та вироби з них; шорно-сідельні спорядження та упряж; дорожні речі, сумки та аналогічні товари; вироби з кишок тварин (крім кетгуту з натурального шовку";Шкури необроблені (крім натурального та штучного хутра) і шкіра вичинена
42;"Шкура та шкіра необроблені, шкіра, натуральне хутро та вироби з них; шорно-сідельні спорядження та упряж; дорожні речі, сумки та аналогічні товари; вироби з кишок тварин (крім кетгуту з натурального шовку";"Вироби із шкіри; шорно-сідельні вироби та упряж; дорожні речі, сумки та аналогічні товари; вироби з кишок тварин (крім кетгуту з натурального шовку)"
43;"Шкура та шкіра необроблені, шкіра, натуральне хутро та вироби з них; шорно-сідельні спорядження та упряж; дорожні речі, сумки та аналогічні товари; вироби з кишок тварин (крім кетгуту з натурального шовку";"Натуральне та штучне хутро; вироби з нього"
44;"Деревина і вироби з деревини; деревне вугілля; пробка та вироби з неї; вироби із соломи, альфи та інших матеріалів для плетення; кошикові та інші плетені вироби";"Деревина і вироби з деревини; деревне вугілля"
45;"Деревина і вироби з деревини; деревне вугілля; пробка та вироби з неї; вироби із соломи, альфи та інших матеріалів для плетення; кошикові та інші плетені вироби";Корок та вироби з нього
46;"Деревина і вироби з деревини; деревне вугілля; пробка та вироби з неї; вироби із соломи, альфи та інших матеріалів для плетення; кошикові та інші плетені вироби";"Вироби із соломи, трави еспарто та інших матеріалів, які використовуються для плетіння; кошикові вироби та плетені вироби"
47;"Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них";"Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури"
48;"Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них";"Папір і картон; вироби з паперової маси, паперу або картону"
49;"Маса з деревини або з інших волокнистих целюлозних матеріалів; папір або картон, одержані з відходів та макулатури; папір, картон та вироби з них";"Друкована продукція, періодичні видання або інша продукція поліграфічної промисловості; рукописи або машинописні тексти та плани"
50;Текстиль та вироби з текстилю;Шовк
51;Текстиль та вироби з текстилю;"Вовна, тонкий та грубий волос тварин; пряжа і тканини з кінського волосу"
52;Текстиль та вироби з текстилю;Бавовна
53;Текстиль та вироби з текстилю;"Інші рослинні текстильні волокна; пряжа з паперу і тканини з паперової пряжі"
54;Текстиль та вироби з текстилю;"Нитки синтетичні або штучні; стрічкові та подібної форми нитки із синтетичних або штучних матеріалів"
55;Текстиль та вироби з текстилю;Синтетичні або штучні штапельні волокна
56;Текстиль та вироби з текстилю;"Вата, повсть і неткані матеріали; спеціальна пряжа; шпагати, мотузки, троси та канати і вироби з них"
57;Текстиль та вироби з текстилю;Килими та інші текстильні покриття для підлоги
58;Текстиль та вироби з текстилю;"Спеціальні тканини; тафтингові текстильні матеріали; мережива; гобелени; оздоблювальні матеріали; вишивка"
59;Текстиль та вироби з текстилю;"Текстильні матеріали, просочені, покриті або дубльовані; текстильні вироби технічного призначення"
60;Текстиль та вироби з текстилю;Трикотажні полотна
61;Текстиль та вироби з текстилю;Одяг та додаткові речі до одягу, трикотажні
62;Текстиль та вироби з текстилю;Одяг та додаткові речі до одягу, текстильні, крім трикотажних
63;Текстиль та вироби з текстилю;"Інші готові текстильні вироби; набори; одяг та текстильні вироби, що використовувалися; ганчір’я"
64;"Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; вироби з волосся людини";"Взуття, гетри та аналогічні вироби; їх частини"
65;"Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; вироби з волосся людини";Головні убори та їх частини
66;"Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; вироби з волосся людини";Парасольки від дощу та сонця, палиці, палиці-сидіння, батоги, хлисти для верхової їзди та їх частини
67;"Взуття, головні убори, парасольки від дощу та сонця, палиці, стеки, батоги та їх частини; пір'я оброблене і вироби з нього; вироби з волосся людини";"Оброблені пір’я та пух і вироби з них; штучні квіти; вироби з волосся людини"
68;"Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла";Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів
69;"Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла";Керамічні вироби
70;"Вироби з каменю, гіпсу, цементу, азбесту, слюди або аналогічних матеріалів; керамічні вироби; скло та вироби із скла";Скло та вироби із скла
71;"Перли натуральні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані чи дубльовані дорогоцінними металами, та вироби з них; біжутерія; монети";"Перли природні або культивовані, дорогоцінне або напівдорогоцінне каміння, дорогоцінні метали, метали, плаковані дорогоцінними металами, та вироби з них; біжутерія; монети"
72;Недорогоцінні метали та вироби з них;Чорні метали
73;Недорогоцінні метали та вироби з них;Вироби з чорних металів
74;Недорогоцінні метали та вироби з них;Мідь і вироби з неї
75;Недорогоцінні метали та вироби з них;Нікель і вироби з нього
